dataset,judge,generator,n,actual_correct,verdict_correct,verdict_incorrect,parse_fail,tp,fn,fp,tn,accuracy,actual_correct_pct,accuracy_pct
GSM8K,Qwen 3 8B,Llama-3.1-8B,1319,1097,1113,155,51,1070,14,43,141,0.9181197877179682,83.2,91.8
MATH500,Qwen 3 8B,Llama-3.1-8B,500,236,225,94,181,210,5,15,89,0.598,47.2,59.8
GSM8K,Qwen 3 8B,Gemma-2-9B,1319,1142,1180,96,43,1119,8,61,88,0.9150871872630781,86.6,91.5
MATH500,Qwen 3 8B,Gemma-2-9B,500,237,235,90,175,222,1,13,89,0.622,47.4,62.2
GSM8K,Qwen 3 8B,Llama-3.3-70B,1319,1260,1271,22,26,1236,7,35,15,0.9484457922668689,95.5,94.8
MATH500,Qwen 3 8B,Llama-3.3-70B,500,370,342,25,133,333,3,9,22,0.71,74.0,71.0
GSM8K,Qwen 3 8B,True Solution (oracle),1319,1319,1246,40,33,1246,40,0,0,0.9446550416982562,100.0,94.5
MATH500,Qwen 3 8B,True Solution (oracle),500,500,359,0,141,359,0,0,0,0.718,100.0,71.8
